city_state,city_sub
"Auburn city, Alabama",auburn
"Birmingham city, Alabama",Birmingham
"Mobile city, Alabama",mobile
"Montgomery city, Alabama",montgomery
"Tuscaloosa city, Alabama",tuscaloosa
"Flagstaff city, Arizona",Flagstaff
"Phoenix city, Arizona",phoenix
"Scottsdale city, Arizona",Scottsdale
"Tempe city, Arizona",Tempe
"Tucson city, Arizona",Tucson
"Little Rock city, Arkansas",LittleRock
"Alameda city, California",alameda
"Anaheim city, California",Anaheim
"Bakersfield city, California",Bakersfield
"Berkeley city, California",berkeley
"Burbank city, California",burbank
"Chico city, California",ChicoCA
"Elk Grove city, California",ElkGrove
"Folsom city, California",folsom
"Fremont city, California",Fremont
"Fresno city, California",fresno
"Glendale city, California",glendale
"Huntington Beach city, California",huntingtonbeach
"Irvine city, California",irvine
"Livermore city, California",Livermore
"Long Beach city, California",longbeach
"Los Angeles city, California",LosAngeles
"Modesto city, California",Modesto
"Mountain View city, California",mountainview
"Napa city, California",napa
"Newport Beach city, California",newportbeach
"Oakland city, California",oakland
"Oceanside city, California",Oceanside
"Palo Alto city, California",paloalto
"Pasadena city, California",pasadena
"Redding city, California",Redding
"Riverside city, California",Riverside
"Roseville city, California",Roseville
"San Diego city, California",sandiego
"San Francisco city, California",sanfrancisco
"San Jose city, California",SanJose
"San Marcos city, California",sanmarcos
"Santa Barbara city, California",SantaBarbara
"Santa Clarita city, California",SantaClarita
"Santa Cruz city, California",santacruz
"Santa Monica city, California",SantaMonica
"Santa Rosa city, California",santarosa
"Stockton city, California",Stockton
"Sunnyvale city, California",Sunnyvale
"Temecula city, California",Temecula
"Thousand Oaks city, California",thousandoaks
"Visalia city, California",visalia
"Boulder city, Colorado",boulder
"Denver city, Colorado",Denver
"Fort Collins city, Colorado",FortCollins
"Greeley city, Colorado",Greeley
"Longmont city, Colorado",Longmont
"Loveland city, Colorado",loveland
"Pueblo city, Colorado",pueblo
"Hartford city, Connecticut",Hartford
"New Haven city, Connecticut",newhaven
"Boca Raton city, Florida",BocaRaton
"Bradenton city, Florida",bradenton
"Daytona Beach city, Florida",DaytonaBeach
"Fort Myers city, Florida",FortMyers
"Jacksonville city, Florida",jacksonville
"Miami city, Florida",Miami
"Orlando city, Florida",orlando
"Pensacola city, Florida",Pensacola
"St. Petersburg city, Florida",StPetersburgFL
"Sarasota city, Florida",sarasota
"Tallahassee city, Florida",Tallahassee
"Tampa city, Florida",tampa
"West Palm Beach city, Florida",WestPalmBeach
"Alpharetta city, Georgia",alpharetta
"Atlanta city, Georgia",Atlanta
"Marietta city, Georgia",Marietta
"Roswell city, Georgia",roswell
"Savannah city, Georgia",savannah
"Coeur d'Alene city, Idaho",coeurdalene
"Chicago city, Illinois",chicago
"Naperville city, Illinois",Naperville
"Rockford city, Illinois",rockford
"Bloomington city, Indiana",bloomington
"Evansville city, Indiana",evansville
"Fort Wayne city, Indiana",fortwayne
"Lafayette city, Indiana",lafayette
"South Bend city, Indiana",SouthBend
"Ames city, Iowa",ames
"Des Moines city, Iowa",desmoines
"Iowa City city, Iowa",IowaCity
"Kansas City city, Kansas",kansascity
"Lawrence city, Kansas",Lawrence
"Topeka city, Kansas",topeka
"Wichita city, Kansas",wichita
"Baton Rouge city, Louisiana",batonrouge
"Lake Charles city, Louisiana",LakeCharles
"New Orleans city, Louisiana",NewOrleans
"Shreveport city, Louisiana",shreveport
"Baltimore city, Maryland",baltimore
"Frederick city, Maryland",frederickmd
"Boston city, Massachusetts",boston
"Somerville city, Massachusetts",Somerville
"Springfield city, Massachusetts",Springfield
"Waltham city, Massachusetts",Waltham
"Ann Arbor city, Michigan",AnnArbor
"Detroit city, Michigan",Detroit
"Flint city, Michigan",flint
"Grand Rapids city, Michigan",grandrapids
"Lansing city, Michigan",lansing
